,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Age,Number
0,2017,1,Ciutat Vella,1,el Raval,0-4,154
1,2017,1,Ciutat Vella,2,el Barri Gòtic,0-4,58
2,2017,1,Ciutat Vella,3,la Barceloneta,0-4,38
3,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",0-4,56
4,2017,2,Eixample,5,el Fort Pienc,0-4,79
5,2017,2,Eixample,6,la Sagrada Família,0-4,111
6,2017,2,Eixample,7,la Dreta de l'Eixample,0-4,121
7,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,0-4,97
8,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,0-4,123
9,2017,2,Eixample,10,Sant Antoni,0-4,57
10,2017,3,Sants-Montjuic,11,el Poble Sec,0-4,80
11,2017,3,Sants-Montjuic,12,la Marina del Prat Vermell,0-4,1
12,2017,3,Sants-Montjuic,13,la Marina de Port,0-4,71
13,2017,3,Sants-Montjuic,14,la Font de la Guatlla,0-4,14
14,2017,3,Sants-Montjuic,15,Hostafrancs,0-4,31
15,2017,3,Sants-Montjuic,16,la Bordeta,0-4,33
16,2017,3,Sants-Montjuic,17,Sants - Badal,0-4,49
17,2017,3,Sants-Montjuic,18,Sants,0-4,106
18,2017,4,Les Corts,19,les Corts,0-4,103
19,2017,4,Les Corts,20,la Maternitat i Sant Ramon,0-4,81
20,2017,4,Les Corts,21,Pedralbes,0-4,36
21,2017,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",0-4,20
22,2017,5,Sarria-Sant Gervasi,23,Sarrià,0-4,87
23,2017,5,Sarria-Sant Gervasi,24,les Tres Torres,0-4,72
24,2017,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,0-4,59
25,2017,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,0-4,141
26,2017,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,0-4,74
27,2017,6,Gracia,28,Vallcarca i els Penitents,0-4,37
28,2017,6,Gracia,29,el Coll,0-4,18
29,2017,6,Gracia,30,la Salut,0-4,41
30,2017,6,Gracia,31,la Vila de Gracia,0-4,88
31,2017,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,0-4,73
32,2017,7,Horta-Guinardo,33,el Baix Guinardó,0-4,48
33,2017,7,Horta-Guinardo,34,Can Baró,0-4,16
34,2017,7,Horta-Guinardo,35,el Guinardó,0-4,72
35,2017,7,Horta-Guinardo,36,la Font d'en Fargues,0-4,14
36,2017,7,Horta-Guinardo,37,el Carmel,0-4,66
37,2017,7,Horta-Guinardo,38,la Teixonera,0-4,15
38,2017,7,Horta-Guinardo,39,Sant Genís dels Agudells,0-4,15
39,2017,7,Horta-Guinardo,40,Montbau,0-4,11
40,2017,7,Horta-Guinardo,41,la Vall d'Hebron,0-4,11
41,2017,7,Horta-Guinardo,42,la Clota,0-4,1
42,2017,7,Horta-Guinardo,43,Horta,0-4,50
43,2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,0-4,51
44,2017,8,Nou Barris,45,Porta,0-4,66
45,2017,8,Nou Barris,46,el Turó de la Peira,0-4,64
46,2017,8,Nou Barris,47,Can Peguera,0-4,3
47,2017,8,Nou Barris,48,la Guineueta,0-4,23
48,2017,8,Nou Barris,49,Canyelles,0-4,6
49,2017,8,Nou Barris,50,les Roquetes,0-4,57
50,2017,8,Nou Barris,51,Verdun,0-4,33
51,2017,8,Nou Barris,52,la Prosperitat,0-4,56
52,2017,8,Nou Barris,53,la Trinitat Nova,0-4,22
53,2017,8,Nou Barris,54,Torre Baró,0-4,5
54,2017,8,Nou Barris,55,Ciutat Meridiana,0-4,47
55,2017,8,Nou Barris,56,Vallbona,0-4,5
56,2017,9,Sant Andreu,57,la Trinitat Vella,0-4,40
57,2017,9,Sant Andreu,58,Baró de Viver,0-4,5
58,2017,9,Sant Andreu,59,el Bon Pastor,0-4,31
59,2017,9,Sant Andreu,60,Sant Andreu,0-4,90
60,2017,9,Sant Andreu,61,la Sagrera,0-4,45
61,2017,9,Sant Andreu,62,el Congrés i els Indians,0-4,17
62,2017,9,Sant Andreu,63,Navas,0-4,26
63,2017,10,Sant Marti,64,el Camp de l'Arpa del Clot,0-4,88
64,2017,10,Sant Marti,65,el Clot,0-4,43
65,2017,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,0-4,30
66,2017,10,Sant Marti,67,la Vila Olímpica del Poblenou,0-4,29
67,2017,10,Sant Marti,68,el Poblenou,0-4,94
68,2017,10,Sant Marti,69,Diagonal Mar i el Front Marítim del Poblenou,0-4,68
69,2017,10,Sant Marti,70,el Besòs i el Maresme,0-4,125
70,2017,10,Sant Marti,71,Provençals del Poblenou,0-4,53
71,2017,10,Sant Marti,72,Sant Marti de Provençals,0-4,48
72,2017,10,Sant Marti,73,la Verneda i la Pau,0-4,70
74,2017,1,Ciutat Vella,1,el Raval,5-9,133
75,2017,1,Ciutat Vella,2,el Barri Gòtic,5-9,46
76,2017,1,Ciutat Vella,3,la Barceloneta,5-9,26
77,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5-9,39
78,2017,2,Eixample,5,el Fort Pienc,5-9,59
79,2017,2,Eixample,6,la Sagrada Família,5-9,81
80,2017,2,Eixample,7,la Dreta de l'Eixample,5-9,75
81,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,5-9,63
82,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,5-9,91
83,2017,2,Eixample,10,Sant Antoni,5-9,43
84,2017,3,Sants-Montjuic,11,el Poble Sec,5-9,60
85,2017,3,Sants-Montjuic,12,la Marina del Prat Vermell,5-9,2
86,2017,3,Sants-Montjuic,13,la Marina de Port,5-9,54
87,2017,3,Sants-Montjuic,14,la Font de la Guatlla,5-9,13
88,2017,3,Sants-Montjuic,15,Hostafrancs,5-9,22
89,2017,3,Sants-Montjuic,16,la Bordeta,5-9,27
90,2017,3,Sants-Montjuic,17,Sants - Badal,5-9,42
91,2017,3,Sants-Montjuic,18,Sants,5-9,79
92,2017,4,Les Corts,19,les Corts,5-9,71
93,2017,4,Les Corts,20,la Maternitat i Sant Ramon,5-9,44
94,2017,4,Les Corts,21,Pedralbes,5-9,40
95,2017,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",5-9,12
96,2017,5,Sarria-Sant Gervasi,23,Sarrià,5-9,61
97,2017,5,Sarria-Sant Gervasi,24,les Tres Torres,5-9,49
98,2017,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,5-9,41
99,2017,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,5-9,80
100,2017,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,5-9,54
101,2017,6,Gracia,28,Vallcarca i els Penitents,5-9,28
102,2017,6,Gracia,29,el Coll,5-9,9
103,2017,6,Gracia,30,la Salut,5-9,24
104,2017,6,Gracia,31,la Vila de Gracia,5-9,58
105,2017,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,5-9,34
