,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Number
0,2017,1,Ciutat Vella,1,el Raval,Male,3063
1,2017,1,Ciutat Vella,2,el Barri Gòtic,Male,1499
2,2017,1,Ciutat Vella,3,la Barceloneta,Male,910
3,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,1438
4,2017,2,Eixample,5,el Fort Pienc,Male,1082
5,2017,2,Eixample,6,la Sagrada Família,Male,1693
6,2017,2,Eixample,7,la Dreta de l'Eixample,Male,1543
7,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,1693
8,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,1927
9,2017,2,Eixample,10,Sant Antoni,Male,1253
10,2017,3,Sants-Montjuic,11,el Poble Sec,Male,1595
11,2017,3,Sants-Montjuic,12,la Marina del Prat Vermell,Male,17
12,2017,3,Sants-Montjuic,13,la Marina de Port,Male,724
13,2017,3,Sants-Montjuic,14,la Font de la Guatlla,Male,351
14,2017,3,Sants-Montjuic,15,Hostafrancs,Male,584
15,2017,3,Sants-Montjuic,16,la Bordeta,Male,471
16,2017,3,Sants-Montjuic,17,Sants - Badal,Male,703
17,2017,3,Sants-Montjuic,18,Sants,Male,1407
18,2017,4,Les Corts,19,les Corts,Male,1054
19,2017,4,Les Corts,20,la Maternitat i Sant Ramon,Male,608
20,2017,4,Les Corts,21,Pedralbes,Male,367
21,2017,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,89
22,2017,5,Sarria-Sant Gervasi,23,Sarrià,Male,606
23,2017,5,Sarria-Sant Gervasi,24,les Tres Torres,Male,337
24,2017,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,531
25,2017,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Male,1092
26,2017,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Male,733
27,2017,6,Gracia,28,Vallcarca i els Penitents,Male,355
28,2017,6,Gracia,29,el Coll,Male,166
29,2017,6,Gracia,30,la Salut,Male,382
30,2017,6,Gracia,31,la Vila de Gracia,Male,1623
31,2017,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Male,833
32,2017,7,Horta-Guinardo,33,el Baix Guinardó,Male,620
33,2017,7,Horta-Guinardo,34,Can Baró,Male,240
34,2017,7,Horta-Guinardo,35,el Guinardó,Male,874
35,2017,7,Horta-Guinardo,36,la Font d'en Fargues,Male,121
36,2017,7,Horta-Guinardo,37,el Carmel,Male,671
37,2017,7,Horta-Guinardo,38,la Teixonera,Male,246
38,2017,7,Horta-Guinardo,39,Sant Genís dels Agudells,Male,213
39,2017,7,Horta-Guinardo,40,Montbau,Male,129
40,2017,7,Horta-Guinardo,41,la Vall d'Hebron,Male,92
41,2017,7,Horta-Guinardo,42,la Clota,Male,18
42,2017,7,Horta-Guinardo,43,Horta,Male,521
43,2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,509
44,2017,8,Nou Barris,45,Porta,Male,647
45,2017,8,Nou Barris,46,el Turó de la Peira,Male,409
46,2017,8,Nou Barris,47,Can Peguera,Male,26
47,2017,8,Nou Barris,48,la Guineueta,Male,218
48,2017,8,Nou Barris,49,Canyelles,Male,62
49,2017,8,Nou Barris,50,les Roquetes,Male,413
